part_id,rev,kind,format,path,bytes,sha256
3DP_body05_interior_plate,01,print,STL,files/print/3DP_body05_interior_plate_rev01.stl,506284,96b29403f2155df2ece9d83408ae7eced4b39ad571b948c7c7e6822b903421fe
3DP_body06_front_plate,01,print,STL,files/print/3DP_body06_front_plate_rev01.stl,2179884,76c4aebf7583eeaea76260196e0c5dc7af348c74b8acb9915241986ec040b4b8
3DP_body07_front_plate_removable,01,print,STL,files/print/3DP_body07_front_plate_removable_rev01.stl,2261184,d5ca88552e756d3a5a393afa17ef3d16f62f70dff7de60913b029dfa4e0ebbda
3DP_body08_back_plate,01,print,STL,files/print/3DP_body08_back_plate_rev01.stl,1957884,3216d2de753a34708ff64c8c58448a0c21ac80134a5261b01a1ab9156decf14b
3DP_body09_back_plate_removable,01,print,STL,files/print/3DP_body09_back_plate_removable_rev01.stl,1173684,e7cb0e2d0bb07097a762c4d246bf786feef9d570b9128dce2dc1b0c6badecd44
3DP_cam01_gimbal_mount,01,print,STL,files/print/3DP_cam01_gimbal_mount_rev01.stl,480284,f72574ff627dd70264f44b79a7a944ac1cd6d23199c16bca71a8d2eb49ff9bc3
3DP_cam02_gimbal_neck,01,print,STL,files/print/3DP_cam02_gimbal_neck_rev01.stl,673484,5a1aee09036f9d2315a6f42ed718a51534e2682ffa6eddbffaed661265316344
3DP_cam03_gimbal_arm,01,print,STL,files/print/3DP_cam03_gimbal_arm_rev01.stl,302684,23846b27c77dcaa4770e5ec8169578e602b1110e8c822b310f05da55a955de36
3DP_cam04_gimbal_arm_link,01,print,STL,files/print/3DP_cam04_gimbal_arm_link_rev01.stl,157884,76b728bcef3e280299676d2b725225d98e16c91091837c7c9844fb0ee61ea063
3DP_grip01_base,01,print,STL,files/print/3DP_grip01_base_rev01.stl,239484,e8e02586cf946bd6d6f2ccb1a2f57ba93e622efc843c3237f74928eb69ae7cd6
3DP_grip02_finger,01,print,STL,files/print/3DP_grip02_finger_rev01.stl,140084,dc862a87129fa9573a6343969bdb87082a74b3d9428d324350465af652a32769
3DP_grip03_rail,01,print,STL,files/print/3DP_grip03_rail_rev01.stl,234584,45e8d95558573db81da6583757ead9b04c79e4b01b1a96317afd3bab5790d778
3DP_grip04_apriltag_holder,01,print,STL,files/print/3DP_grip04_apriltag_holder_rev01.stl,38884,ae142f659a82c573b38ea223ba30189c0306a51fa5f7539a8b53706694974b76
3DP_grip05_pinion,01,print,STL,files/print/3DP_grip05_pinion_rev01.stl,3530984,0c8c3201ead46cf84a7eeda97cfa8fd34b8a2b9984993fa1dc45c6371608c00f
3DP_grip06_apriltag_tile,01,print,STL,files/print/3DP_grip06_apriltag_tile_rev01.stl,684,4c8c5c76762d6d0e79591b20d8d22f0924ab0216f22609accce3a223eb49c74a
3DP_leg19_sole,01,print,STL,files/print/3DP_leg19_sole_rev01.stl,501084,e96d95a61670caf840d72e2bc46976439847a8e962ad0598013ff803876a32fa
3DP_leg20_foot_front,01,print,STL,files/print/3DP_leg20_foot_front_rev01.stl,267984,e50192f6eb2d15946d9b62be34ea7d51104d438a20ae52b0b536d6ccdc001de7
3DP_legP01_hip3_cover_a,01,print,STL,files/print/3DP_legP01_hip3_cover_a_rev01.stl,1672884,1ea50ed640018a9030ee2f91f65cbe497998f7b8516baddc99593fb7f67bcceb
3DP_legP02_hip3_cover_b,01,print,STL,files/print/3DP_legP02_hip3_cover_b_rev01.stl,1672884,2ea93695323a08943fb7d30b5689b3f8c79060633c1df1743626161797c53353
3DP_legP03_hip3_cover_c,01,print,STL,files/print/3DP_legP03_hip3_cover_c_rev01.stl,1673684,7fdefffd94bdf0efad84e476d29ac721b1f904b116ace6a774994e621a1b3307
3DP_legP04_hip3_cover_d,01,print,STL,files/print/3DP_legP04_hip3_cover_d_rev01.stl,1673684,9bae15f106f8f41245581313daee01c860c6ae065a88cfcbd0d4348615fc33f9
3DP_legP05_hip2_cover_a,01,print,STL,files/print/3DP_legP05_hip2_cover_a_rev01.stl,2074184,c3d9e9282d92629644a098a3fc8f126503cceab2fc42d1a215d8a153d9f0b774
3DP_legP06_hip2_cover_b,01,print,STL,files/print/3DP_legP06_hip2_cover_b_rev01.stl,2072684,1ab85d1df0d47e9cb134627a283699640b689964b0462b5ff4127bcea6bd3daa
3DP_legP07_knee_cover_a,01,print,STL,files/print/3DP_legP07_knee_cover_a_rev01.stl,1103284,8690d0cf7da092151d2f0623b031f0ba63cc8534786586973abf89e10b247f74
3DP_legP08_knee_cover_b,01,print,STL,files/print/3DP_legP08_knee_cover_b_rev01.stl,1096784,fc16c19b6801bba99211bcf4e2c52c47710027a524972ad5286664bad6fd892b
3DP_legP09_shank_cover_a,01,print,STL,files/print/3DP_legP09_shank_cover_a_rev01.stl,890684,02f5f3fa1ce12ec4e4c2b839d3041c402e21d7721c38108cf9d8ddb104815c96
3DP_legP10_shank_cover_b,01,print,STL,files/print/3DP_legP10_shank_cover_b_rev01.stl,890684,5a586e7ba069af418e397b6bf0553d48bb6437908c7be20ee6dfba84098f421f
3DP_legP11_ankle_cover_a,01,print,STL,files/print/3DP_legP11_ankle_cover_a_rev01.stl,2042084,05f3c0fda5c86d39d76c72fc727b30e0da7749f46ea26fdefdd56e3468a8f8ff
3DP_legP12_ankle_cover_b,01,print,STL,files/print/3DP_legP12_ankle_cover_b_rev01.stl,2042184,a8ae439e824a72975403278f6635324395e33bd341ba971a6b468316db63529b
duke_humanoid_v2_exploded_views,01,drawings,PDF,files/drawings/duke_humanoid_v2_exploded_views_rev01.pdf,6242846,0c061b006ad0f6ae288f4680eea416858bcb3bebee4350ac331691227ae80e51
humanoid_2.1_latest_overall,01,drawings,PDF,files/drawings/humanoid_2.1_latest_overall_rev01.pdf,2602044,848d45e34372b5c3215952c5407d7c4b815018b3c1fe111558c2b0fc69e311d4
humanoid_2.1_latest,01,assembly,STEP (zip),files/assembly/humanoid_2.1_latest_rev01.step.zip,33688678,470b4de68fee96b9c3d985b5b75ca0612f1c89638a779158952563dbf9d51468
000-left-arm-long-wrist-latest,01,modules,STEP,files/modules/000-left-arm-long-wrist-latest_rev01.step,30656166,bb951821e76f6764cab2cf68321ef14fc5c58ba3888cf284cd4af337b477ff0b
000-right-arm-long-wrist-latest,01,modules,STEP,files/modules/000-right-arm-long-wrist-latest_rev01.step,30484194,d053d2ed4ace1bb5b22dd8f4d064f2a77d7d70e2f55de738b5ed69463a633927
001-left-wrist-long-latest,01,modules,STEP,files/modules/001-left-wrist-long-latest_rev01.step,12140576,29f4e13f7e86d3459e422c7c748a9a1cb874ef165d946009a9c3b51ef81ecd5a
