path,fusion_name,file_name,visible,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:31,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,3.000000,-1.000000,-0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:32,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,-3.000000,-1.000000,-0.000000,0.000000,14.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:33,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,3.000000,-1.000000,-0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:34,magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,True,-0.000000,-0.000000,1.000000,-6.308750,0.000000,1.000000,-0.000000,-3.000000,-1.000000,-0.000000,0.000000,6.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,3DP_body_09_x1_back_plate_removable,3DP_body_09_x1_back_plate_removable,True,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2+half-bearing-45x58x7_6809_5.4kN_40g:1,half-bearing-45x58x7_6809_5.4kN_40g,half-bearing-45x58x7_6809_5.4kN_40g,True,1.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,1.000000,8.650000,0.000000,-1.000000,-0.000000,34.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2+half-bearing-45x58x7_6809_5.4kN_40g:2,half-bearing-45x58x7_6809_5.4kN_40g,half-bearing-45x58x7_6809_5.4kN_40g,True,1.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,1.000000,8.650000,0.000000,-1.000000,-0.000000,34.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:3+half-bearing-45x58x7_6809_5.4kN_40g:1,half-bearing-45x58x7_6809_5.4kN_40g,half-bearing-45x58x7_6809_5.4kN_40g,True,1.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-1.000000,-8.650000,-0.000000,1.000000,0.000000,34.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:3+half-bearing-45x58x7_6809_5.4kN_40g:2,half-bearing-45x58x7_6809_5.4kN_40g,half-bearing-45x58x7_6809_5.4kN_40g,True,1.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-1.000000,-8.650000,-0.000000,1.000000,0.000000,34.750000,0.000000,0.000000,0.000000,1.000000
body_LATEST:1+Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain:1,Hexalobular Socket Pan Head Screw ISO 14583 - M3x10 Steel 4.6 Plain,Hexalobular_Socket_Pan_Head_Screw_ISO_14583_-_M3x10_Steel_4.6_Plain,True,-0.000000,-0.000000,1.000000,6.300000,-0.000000,1.000000,0.000000,3.000000,-1.000000,-0.000000,-0.000000,40.725000,0.000000,0.000000,0.000000,1.000000
