file,fusion_name,path,depth,qty,children,mass_g
shoulder_yaw_elbow.step,shoulder_yaw:elbow,000_left_arm_long_wrist_latest:1+shoulder_yaw:elbow:2,1,1,3,147.6
02-3D-20211009_1_.stp.step,02-3D-20211009(1).stp,000_left_arm_long_wrist_latest:1+robstride_02-No_back_cover:4+02-3D-20211009(1).stp:1,2,2,1,112.9
elbow_wrist_roll.step,elbow:wrist_roll,000_left_arm_long_wrist_latest:1+elbow:wrist_roll:2,1,1,4,189.1
bearing_35x44x5_6707_1.6kN_15g~2.step,bearing_35x44x5_6707_1.6kN_15g,000_left_arm_long_wrist_latest:1+bearings:2+bearing_35x44x5_6707_1.6kN_15g:2,2,6,2,15.0
3_1_02_090_0073_ASM_1_1_ASM~2.step,3_1_02_090_0073_ASM_1_1_ASM,000_left_arm_long_wrist_latest:1+Robstride 03 - full:1+3_1_02_090_0073_ASM_1_1_ASM:1,2,1,12,884.2
BACK_COVER1_1_06_EB903-538_1.step,BACK_COVER1_1_06_EB903-538_1,000_left_arm_long_wrist_latest:1+Robstride 03 - full:1+BACK_COVER1_1_06_EB903-538_1:1,2,1,8,24.7
Robstride_03_-_full.step,Robstride 03 - full,000_left_arm_long_wrist_latest:1+Robstride 03 - full:1,1,1,2,909.0
R06.step,R06,000_left_arm_long_wrist_latest:1+Robstride 06-No Back Cover:1+R06:1,2,1,5,598.8
Robstride_06-No_Back_Cover~2.step,Robstride 06-No Back Cover,000_left_arm_long_wrist_latest:1+Robstride 06-No Back Cover:1,1,1,1,598.8
robstride00.step,robstride00,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+robstride00:1,2,2,4,310.0
wrist_3-left.step,wrist_3-left,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+wrist_3-left:1,2,2,4,355.2
001_left_wrist_long_latest.step,001_left_wrist_long_latest,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1,1,1,4,867.6
shoulder_pitch_protection.step,shoulder_pitch_protection,000_left_arm_long_wrist_latest:1+protections:1+shoulder_pitch_protection:1,2,1,2,24.9
shoulder_yaw_protection.step,shoulder_yaw_protection,000_left_arm_long_wrist_latest:1+protections:1+shoulder_yaw_protection:1,2,2,2,19.2
elbow_motor_protection.step,elbow_motor_protection,000_left_arm_long_wrist_latest:1+protections:1+elbow_motor_protection:1,2,1,2,12.2
shoulder_roll_shaft.step,shoulder_roll_shaft,000_left_arm_long_wrist_latest:1+protections:1+shoulder_roll_shaft:1,2,1,2,15.9
elbow_shaft.step,elbow_shaft,000_left_arm_long_wrist_latest:1+protections:1+elbow_shaft:1,2,1,2,15.2
000_left_arm_long_wrist_latest.step,000_left_arm_long_wrist_latest,000_left_arm_long_wrist_latest:1,0,1,163,4610.3
BACK_COVER1_1_06_EB903-538_1~2.step,BACK_COVER1_1_06_EB903-538_1,000_right_arm_long_wrist_latest:1+Robstride 03 - full:1+BACK_COVER1_1_06_EB903-538_1:1,2,1,8,24.7
shoulder_pitch_shoulder_roll~2.step,shoulder_pitch:shoulder_roll,000_right_arm_long_wrist_latest:1+shoulder_pitch:shoulder_roll:1,1,1,3,175.7
R06~2.step,R06,000_right_arm_long_wrist_latest:1+Robstride 06-No Back Cover:1+R06:1,2,1,5,598.8
robstride_02-No_back_cover~2.step,robstride_02-No_back_cover,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3,2,3,2,394.2
shoulder_roll_shoulder_yaw~2.step,shoulder_roll:shoulder_yaw,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1,1,1,5,580.8
3DP_arm06_x4_RS02_shaft_coupler~2.step,3DP_arm06_x4_RS02_shaft_coupler,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1+3DP_arm06_x4_RS02_shaft_coupler:1,2,1,6,67.5
shoulder_yaw_elbow~2.step,shoulder_yaw:elbow,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1,1,1,3,147.6
02-3D-20211009_1_.stp~2.step,02-3D-20211009(1).stp,000_right_arm_long_wrist_latest:1+robstride_02-No_back_cover:1+02-3D-20211009(1).stp:1,2,2,1,112.9
elbow_wrist_roll~2.step,elbow:wrist_roll,000_right_arm_long_wrist_latest:1+elbow:wrist_roll:1,1,1,4,189.1
001_right_wrist_long_latest.step,001_right_wrist_long_latest,000_right_arm_long_wrist_latest:1+001_right_wrist_long_latest:1,1,1,4,867.6
shoulder_pitch_protection~2.step,shoulder_pitch_protection,000_right_arm_long_wrist_latest:1+protections:1+shoulder_pitch_protection:1,2,1,2,24.9
shoulder_yaw_protection~2.step,shoulder_yaw_protection,000_right_arm_long_wrist_latest:1+protections:1+shoulder_yaw_protection:1,2,2,2,19.2
elbow_motor_protection~2.step,elbow_motor_protection,000_right_arm_long_wrist_latest:1+protections:1+elbow_motor_protection:1,2,1,2,12.2
shoulder_roll_shaft~2.step,shoulder_roll_shaft,000_right_arm_long_wrist_latest:1+protections:1+shoulder_roll_shaft:1,2,1,2,15.9
elbow_shaft~2.step,elbow_shaft,000_right_arm_long_wrist_latest:1+protections:1+elbow_shaft:1,2,1,2,15.2
000_right_arm_long_wrist_latest.step,000_right_arm_long_wrist_latest,000_right_arm_long_wrist_latest:1,0,1,157,4599.7
