Type,Item Description,Vendor Link,Alternative Link,Unit Price,QTY (2XC),Total Price,QTY (2XM),Total Price,Note
Hardware,Screwdriver Kit,https://www.amazon.com/dp/B0BLMQ8BXB?starsLeft=1&ref_=cm_sw_r_cso_cp_apin_dp_RDJBS7WAX5ERNPW5P4YK,,$64.99,1,$64.99,,,
,Precision Screwdriver Kit,https://www.amazon.com/HOTO-Screwdriver-Precision-Rechargeable-Electronics/dp/B09MR5HFPB?ref_=ast_sto_dp,,$29.99,1,$29.99,,,
,Allen Key Set,https://www.amazon.com/Edward-Tools-Piece-Short-Wrench/dp/B09PC433HS/ref=sr_1_7?crid=3I9XH54X7VALF&dib=eyJ2IjoiMSJ9.QOqDT66xdwtGzvBR4FSUX2VMpMWMYBGqbwcFt-zrcxpFv9vUnd8WGpsZSuRHr-80E-YDpa9NoEDbjOMatHn61XeyVM6QCJJdCO0_kXbkUlw6Efkn2uolq6RGKbFwwmvbSM41drnht8Ua1M4lmI1qsVIzCPcfB9fQGfWWXoFMd2mv3om3YhgFGcw9if71D1nJD6q1d8Fm3ZZ9ARemAhAwhAqO6eA8lfuJ17Sa3zrjNZWw_NSkGe6nuH1fLTP_kiX3PPMnqz4hsnavc6LaNffL6mxE-T4kpB45Xm7l50JJlm71OLdUpKxfk26f2Ro9FL2OXoB7Ypn-pqZvt498p8F5QeyjMBJ0Crdr0vOC-nVa-Dk.8wuI1o_hk71IbmptIMwK4aq17Ytg_qiN1lQMOTgPb0o&dib_tag=se&keywords=allen+key+set+short&qid=1737934656&s=hi&sprefix=allen+key+set+shor%2Ctools%2C219&sr=1-7,,$6.95,1,$6.95,,,
,Pliers,https://www.amazon.com/Professional-Cutters-Diagonal-Repairing-Crafting/dp/B07R8JLJVR/ref=sr_1_17?crid=3THJCRSFCVPKC&dib=eyJ2IjoiMSJ9.A9R_gdtQ80zowyvP23hdzUedGcKnLPYeLy9LNXuWaRA5ApTT7QScZrR0s6tQ6OVmp-7ddWKH-0mbl6aZ21eBPfz-NwBlDZh6zKb_z6UOGhMCwzorjyrPcXC8IP0429gpioYUjkax7F_REOiM7101pqpDenNuk6ndblzPXf-BA4300w0pw3rxGbWH3plEt63eChf5svlOqz07UqEYEHMWmTHz0eRggbarsyTcdfO34-i7epj-8Z1NnnOARVsI1Gtvka5FIHMVpA6ehplC74Ms3ZO3XBJso30U5ED9wrrsMak.VzCoTG4byxzrUxvdQryVkZ5U81rLnURrpGGQUty8UMg&dib_tag=se&keywords=precision+pliers&qid=1710796385&sprefix=precision+pliers%2Caps%2C158&sr=8-17,,$32.35,1,$32.35,,,
,Caliper Digital,https://www.amazon.com/Measuring-Stainless-Micrometer-Fraction-Household/dp/B0BF9LW56V/ref=sr_1_3?crid=3CZ258SFWS5H4&dib=eyJ2IjoiMSJ9.l_rkEqW0UT64XiuWX4z8dpef6oZBk7soVlpaVFiPdwjAQ-0QIFbKk87k1FAci5rZUcNBmxjjVydGHAZjR-ettViEqY-4EECeedw3HRxt25ipdaGUQxTSlMMwUpoLuG3D9Fk07EyO03JI7E2j4_djysYHbHy8bqWkAOwLJ2xTrcLEwJ9gbnEtW2YM0NuZOLZVabESh0I87_qzV-qY1I32GGAyB7rxxNxAeJvzGs0Mb2w.4yQs0b-ETb1fjKpQqzjRiyH6ggM8dAmUHsJ-txZxkww&dib_tag=se&keywords=Digital%2Bcaliper&qid=1710625415&sprefix=digital%2Bcaliper%2Caps%2C154&sr=8-3&th=1,,$29.98,1,$29.98,,,
,Double Sided Tape,https://www.amazon.com/BYUEE-30-Yards-Adhesive-Scrapbooking-Wrapping/dp/B07MZQC1T2/ref=sr_1_8?crid=3996905MZK1DW&dib=eyJ2IjoiMSJ9.62tqSyaGLDgnuCh0lRId4QUoOCgo39K85qTmyWq-oXKqwMHtRnRMqp1COZpNTGxyFiVyZWmj6L9dx18G1DjauKKVPd6zyipvZf4hgZcxdxsEGWuu6lCoIfpTMpXaqQhHelGd4_FCP5qpxf-mzAaXeczKbwL1HLryivyRGLVIrqbBaYgW0J55zanpogf873OLnGjPk0I6j-cvx4KTkrOWHUNzmCe06pc83Y9Co-YO1kQPLPxMIRlAkjUb46jtlyYoSl97wrgLwwz7zIzHyD_NBwoKAJUS_9yX291JNes2V2w.2q1i_x5IWh7-wySjVAtP9zvVS62K-njhtudhY-0RoDA&dib_tag=se&keywords=double%2Bsided%2Btape%2Bthin&qid=1731304721&s=hi&sprefix=double%2Bsided%2Btape%2Bthin%2Ctools%2C170&sr=1-8&th=1,,$9.99,1,$9.99,,,
Soldering,Automatic Wire Stripper,https://www.amazon.com/VCELINK-Automatic-Stripper-Professional-Adjustable/dp/B08G48R47N/ref=sr_1_12_sspa?crid=18OUIUHXFJC71&dib=eyJ2IjoiMSJ9.dz2NFdq5AMM6e03TI3wLk80veI6Nb3n1-DkE9N7qTJ5caJu4-Mn2bRayPOlO2ZHOH-NTbeoH76kRp47ZfKsEvmF6oYlr1fQccm7d9rWqPZpJj2oLwIKzScGd-7rIV6IWFiVHFbfSrQgzUPtsIOdXGxel4oh6zKB52Vr7TWXVv62IbQYA1VS1JjhVLljhDSwx2wpJAx-TOev2snCSL5BvIYkgkFDTRvB5yqlr5yOqBGNHDuR79ucaXTRvtFG65a0AfHNtSCwS9xN31ajXC28WkEBYWw566xrgN0F_bbKnqT0.oP43OdIPh6tPIdVdRAlNcJr_ftH2ydZTUcdiIGqHjjU&dib_tag=se&keywords=cable%2Bstripper&qid=1738573249&sprefix=cable%2Bstripper%2Caps%2C274&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,,$9.99,1,$9.99,,,
,Soldering Tweezer,https://www.amazon.com/Precision-Anti-Static-Electronics-Sodlering%EF%BC%8CJewelry-Laboratory/dp/B0BHP5S82C/ref=sr_1_1_sspa?crid=291KQ280YLKDE&dib=eyJ2IjoiMSJ9.-a9KT1ELIX7rf4ozhvHqPh5GSYRSeT0AKJFVzLhZqC14c9TlXzhWF5bqEq7sR_EVDaJBoMlvx5fLUNafH0WHZkia_r4O_egxgdZLuTC_bP2CyrttNyRQvh9yaytzyPg7zrEwU_QDslAzyteRuEb8iwtjzGVhWN9MzIYmJ3lABGc_Ul4pqq5rSG5eB3y-nZMqBbXXoV-1m-9QRUn3w8fxxnEkkjNfESkRhgHd752ARWamwjQETEMlPJ1N8SQ0MSsllCO455aWq5nRo4dYF2E9MS6-M3o-fhqV2ZL1e5AsNsI.l3rIUm5eqdrvwVkb2on4MOwvEPKIgU0jtPIxLH0zP5g&dib_tag=se&keywords=tweezer%2Bsolder&qid=1710654732&sprefix=tweezer%2Bsolder%2Caps%2C148&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$5.99,1,$5.99,,,
,Soldering Brass,https://www.amazon.com/Weller-WLACCBSH-02-Soldering-Cleaner-Silicone/dp/B08FQBS97L/ref=sr_1_1_sspa?crid=3SBTRQ60M1JAX&dib=eyJ2IjoiMSJ9.7HS_h2MOGPtjxHiO7U-PvBPQweWt_anYgMOBXJKWFf32sCRZuE8rw60Uci3YKzlBSaRbFst9cDjR5KahXI0pyc8p8C2Ppsjx6WzUgzzaemd_N4xUI5HQDZ71FYWpA-JlZNgZDEuibjYwrtgsUQl2ICRipNbyV5rCssHHm2Fz0YpYRCd0aMLQ4l4V1oAv0je6Y1NwB4DXM6q5bTCb0irWc6AmntxjDQNL0xDnPmNABHuzG30RPUIObJLFVWJz-JN-tXpPh4Z6C1LlXmycv7z6vdGbrB-UnyNRbGk_aQaoI_E.igeWcfaEOEiHlHw2rLfG_oxCRm6hpSCoiVyLcKpATjc&dib_tag=se&keywords=solder%2Bcleaner%2Bbrass&qid=1710654858&sprefix=solder%2Bclearn%2Caps%2C151&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$11.97,1,$11.97,,,
,Soldering Station,https://www.amazon.com/gp/product/B07XC9VV2C/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,,$69.99,1,$69.99,,,
