fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
C4,C4,subassembly,2,0,1,,0.0,0.8,1.6,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C4:1
C5,C5,subassembly,2,0,1,,0.0,0.8,1.6,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C5:1
C6,C6,subassembly,2,0,1,,0.0,1.6,0.8,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C6:1
C7,C7,subassembly,2,0,1,,0.0,0.9,1.6,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1
C_0603,C_0603,subassembly,6,0,1,,0.0,1.6,0.9,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1
C_0603-7177_AF0_ASM,C_0603-7177_AF0_ASM,subassembly,6,0,1,,0.0,1.6,0.9,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1+C_0603-7177_AF0_ASM:1
C_0603-683_AF0_ASM,C_0603-683_AF0_ASM,subassembly,6,0,3,,0.0,1.6,0.9,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1+C_0603-7177_AF0_ASM:1+C_0603-683_AF0_ASM:1
2_1_200,2_1_200,part,6,1,0,servo_board,0.0,0.3,0.8,0.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1+C_0603-7177_AF0_ASM:1+C_0603-683_AF0_ASM:1+2_1_200:1
3_1_2_A,3_1_2_A,part,6,1,0,servo_board,0.0,0.3,0.8,0.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1+C_0603-7177_AF0_ASM:1+C_0603-683_AF0_ASM:1+3_1_2_A:1
_1_1_20001,1_1_20001,part,6,1,0,servo_board,0.0,1.0,0.8,0.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C7:1+C_0603:1+C_0603-7177_AF0_ASM:1+C_0603-683_AF0_ASM:1+_1_1_20001:1
C8,C8,subassembly,2,0,1,,0.0,0.8,1.6,0.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C8:1
C9,C9,subassembly,2,0,1,,0.0,0.9,1.6,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+C9:1
D1,D1,subassembly,2,0,1,,0.0,1.3,2.7,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D1:1
D2,D2,subassembly,2,0,1,,0.0,1.3,2.7,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D2:1
SOD323,SOD323,part,8,1,0,servo_board,0.0,2.7,1.3,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D2:1+SOD323:1
D3,D3,subassembly,2,0,1,,0.0,2.7,1.3,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D3:1
D4,D4,subassembly,2,0,1,,0.0,2.7,1.3,1.1,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+D4:1
